ID;sentence;control
1;One of the best silly horror movies of recent memory, with some real shocks in store for unwary viewers.;
2;Jason Patric and Ray Liotta make for one splendidly cast pair.;
13;A real winner -- smart, funny, subtle, and resonant.;CONTROL
3;It's hard to imagine acting that could be any flatter.;CONTROL
4;This is more a case of `Sacre bleu!';
5;Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.;
6;Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.;
7;Bread, My Sweet has so many flaws it would be easy for critics to shred it.;
8;Slow, silly and unintentionally hilarious.;CONTROL
9;Ultimately feels emp11111ty and unsatisfying, like swallowing a Communion wafer without the wine.;
10;Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.;
11;The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.;
12;Ryan Gosling is, in a word, brilliant as the conflicted Daniel.;
14;If Deuces Wild had been tweaked up a notch it would have become a camp adventure, one of those movies that's so bad it starts to become good.;
15;The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.;
16;Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for.;
17;The film often achieves a mesmerizing poetry.;CONTROL
18;A work of astonishing delicacy and force.;CONTROL
19;The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.;
20;For the most part, the ingredients are there.;
21;But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.;
22;There's not much to Fatale, outside of its stylish surprises... but that's OK.;CONTROL
23;The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.;
24;This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.;
25;There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.;
26;A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.;
27;The film is so bad it doesn't improve upon the experience of staring at a blank screen.;CONTROL
28;Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.;
29;Another Best of the Year selection.;
30;It's all a rather shapeless good time...;
31;Same song, second verse, coulda been better, but it coulda been worse.;CONTROL
32;I love the robust middle of this picture.;
33;That's not vintage Spielberg and that, finally, is minimally satisfying.;
34;The soundtrack alone is worth the price of admission.;CONTROL
35;Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it's a pleasurable trifle.;
36;For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.;
37;Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.;
38;The movie is for fans who can't stop loving anime, and the fanatical excess built into it.;
39;The Ring is worth a look, if you don't demand much more than a few cheap thrills from your Halloween entertainment.;
40;Beautifully observed, miraculously unsentimental comedy-drama.;
41;What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.;
42;This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.;
